7791600015138;151/3;1089.00;1;
7791600015022;150/2;1319.00;1;
7791600015350;153/5;245.00;1;
7791600013127;131/2;989.00;1;
7791600013233;132/3;1319.00;1;
7791600013349;133/4;245.00;1;
7791600013660;136/6;1179.00;1;
7791600191368;1913/6;1089.00;1;
7791600191474;1914/7;1199.00;1;
7791600191580;1915/8;245.00;1;
7791600191696;1916/9;1179.00;1;
7791600049027;490/2;1189.00;1;
7791600049133;491/3;1189.00;1;
7791600049249;492/4;1189.00;1;
7791600049690;496/9;1189.00;1;
7791600496135;4961/3;1439.00;1;
7791600496241;4962/4;1439.00;1;
7791600049355;493/5;255.00;1;
7791600049461;494/6;255.00;1;
7791600049577;495/7;255.00;1;
7791600049782;497/8;255.00;1;
7791600039011;390/1;1729.00;1;
7791600039127;391/2;275.00;1;
7791600203030;2030/3;1369.00;1;
7791600203139;2031/3;255.00;1;
7791600045340;453/4;1339.00;1;
7791600045418;454/1;1639.00;1;
7791600045593;455/9;255.00;1;
7791600678319;6783/1;1619.00;1;
7791600041830;418/3;1339.00;1;
7791600041922;419/2;1639.00;1;
7791600042042;420/4;255.00;1;
7791600678432;6784/3;1619.00;1;
7791600059033;590/3;1339.00;1;
7791600059125;591/2;1639.00;1;
7791600059248;592/4;255.00;1;
7791600678548;6785/4;1619.00;1;
7791600843038;8430/3;1319.00;1;
7791600843144;8431/4;1539.00;1;
7791600843250;8432/5;255.00;1;
7791600276027;2760/2;1319.00;1;
7791600276133;2761/3;1539.00;1;
7791600276249;2762/4;255.00;1;
7791600678760;6787/6;1619.00;1;
7791600173524;1735/2;939.00;1;
7791600173630;1736/3;939.00;1;
7791600173746;1737/4;939.00;1;
7791600042257;422/5;659.00;1;
7791600042844;428/4;659.00;1;
7791600043247;432/4;659.00;1;
7791600065256;652/5;1209.00;1;
7791600065362;653/6;1429.00;1;
7791600065478;654/7;255.00;1;
7791600076023;760/2;1209.00;1;
7791600076139;761/3;1429.00;1;
7791600076245;762/4;255.00;1;
7791600521479;5214/7;1209.00;1;
7791600521240;5212/4;1439.00;1;
7791600521356;5213/5;255.00;1;
7791600102135;1021/3;1209.00;1;
7791600102296;1022/9;1439.00;1;
7791600102388;1023/8;255.00;1;
7791600841737;8417/3;1209.00;1;
7791600841843;8418/4;1439.00;1;
7791600841959;8419/5;255.00;1;
7791600167462;1674/6;1209.00;1;
7791600167691;1676/9;1629.00;1;
7791600167738;1677/3;255.00;1;
7791600593452;5934/5 ;1209.00;1;
7791600593346;5933/4;1629.00;1;
7791600593568;5935/6 ;255.00;1;
7791600512033;5120/3;1209.00;1;
7791600512149;5121/4;1429.00;1;
7791600512255;5122/5;259.00;1;
7791600512361;5123/6;289.00;1;
7791600596248;5962/4;1209.00;1;
7791600596354;5963/5;1429.00;1;
7791600596460;5964/6;259.00;1;
7791600596576;5965/7;289.00;1;
7791600596941;5969/4;1529.00;1;
7791600253325;2533/2;1089.00;1;
7791600253431;2534/3;1379.00;1;
7791600253547;2535/4;259.00;1;
7791600253653;2536/5;289.00;1;
7791600067021;670/2;1089.00;1;
7791600067137;671/3;1319.00;1;
7791600067243;672/4;259.00;1;
7791600067359;673/5;289.00;1;
7791600067465;674/6;1289.00;1;
7791600048174;481/7;1189.00;1;
7791600048280;482/8;1419.00;1;
7791600048396;483/9;245.00;1;
7791600678876;6788/7;1389.00;1;
7791600168452;1684/5;1089.00;1;
7791600952747;9527/4;1169.00;1;
7791600952631;9526/3;1539.00;1;
7791600952853;9528/5;245.00;1;
7791600029135;291/3;929.00;1;
7791600029357;293/5;989.00;1;
7791600057046;570/4;1649.00;1;
7791600057152;571/5;1319.00;1;
7791600057268;572/6;245.00;1;
7791600057374;573/7;1629.00;1;
7791600186050;1860/5;1649.00;1;
7791600186166;1861/6;1319.00;1;
7791600186272;1862/7;245.00;1;
7791600186388;1863/8;1629.00;1;
7791600720131;7201/3;1539.00;1;
7791600720247;7202/4;255.00;1;
7791600098025;980/2;699.00;1;
7791600098131;981/3;799.00;1;
7791600103019;1030/1;699.00;1;
7791600103125;1031/2;799.00;1;
7791600985011;9850/1;1569.00;1;
7791600998424;9984/2;1569.00;1;
7791600985127;9851/2;255.00;1;
7791600998530;9985/3;255.00;1;
7791600034641;346/4;1589.00;1;
7791600034023;340/2;1589.00;1;
7791600034757;347/5;275.00;1;
7791600034139;341/3;275.00;1;
