14;285;0;0;0;
1;285;0;50;ml;
2;285;0;123;ml;
14;286;0;0;ml;
1;286;0;50;ml;
2;286;0;123;ml;
14;287;0;0;ml;
1;287;0;50;ml;
2;287;0;123;ml;
14;288;0;0;ml;
1;288;0;50;ml;
2;288;0;123;ml;
14;289;0;0;ml;
1;289;1;40;ml;
2;289;0;123;ml;
14;290;0;0;ml;
1;290;1;60;ml;
2;290;0;150;ml;
14;291;0;0;ml;
1;291;1;60;ml;
2;291;0;150;ml;
14;292;0;0;ml;
1;292;1;60;ml;
2;292;0;150;ml;
14;293;0;0;ml;
1;293;1;60;ml;
2;293;0;150;ml;
14;294;0;0;ml;
1;294;1;60;ml;
2;294;0;150;ml;
14;295;0;0;ml;
1;295;1;60;ml;
2;295;0;150;ml;
