1;1;0;80;ml;
1;2;0;80;ml;
1;3;0;40;ml;
1;4;0;80;ml;
2;5;0;123;ml;
3;6;0;80;ml;
3;7;0;40;ml;
2;8;0;123;ml;
1;9;1;50;ml;
2;10;0;123;ml;
1;11;1;50;ml;
2;12;0;123;ml;
1;13;1;50;ml;
1;14;1;50;ml;
1;15;1;40;ml;
2;16;0;102;ml;
1;17;1;40;ml;
2;17;0;102;ml;
1;18;1;40;ml;
2;19;0;102;ml;
1;20;1;40;ml;
2;20;0;102;ml;
1;21;0;60;ml;
2;22;0;150;ml;
4;23;0;80;ml;
4;24;0;80;ml;
2;25;0;150;ml;
1;26;0;60;ml;
1;27;0;30;ml;
1;28;0;90;ml;
1;29;0;60;ml;
1;30;0;30;ml;
2;31;0;150;ml;
1;32;0;90;ml;
5;33;0;200;ml;
6;34;0;75;gs;
1;35;0;90;ml;
6;35;0;75;gs;
1;36;0;90;ml;
5;36;0;200;ml;
1;37;0;90;ml;
1;38;0;90;ml;
6;38;0;75;gs;
1;39;0;90;ml;
6;39;0;75;gs;
5;39;0;200;ml;
6;40;0;75;gs;
5;41;0;200;ml;
1;42;0;90;ml;
7;42;0;0;0;
1;43;0;90;ml;
1;44;1;100;ml;
1;45;1;100;ml;
1;46;1;100;ml;
1;47;1;40;ml;
8;48;0;250;ml;
2;49;0;123;ml;
1;50;1;60;ml;
1;51;1;30;ml;
2;52;0;123;ml;
3;53;1;80;ml;
3;54;1;50;ml;
8;55;0;250;ml;
2;56;0;186;ml;
2;57;0;123;ml;
3;58;1;50;ml;
2;59;0;123;ml;
3;60;1;50;ml;
2;61;0;123;ml;
3;62;1;50;ml;
2;63;0;123;ml;
3;64;1;80;ml;
3;65;1;50;ml;
8;66;0;250;ml;
2;67;0;123;ml;
2;68;0;186;ml;
1;69;1;50;ml;
1;70;1;50;ml;
1;71;1;50;ml;
1;72;1;80;ml;
1;73;1;50;ml;
2;74;0;186;ml;
2;75;0;123;ml;
8;76;0;250;ml;
1;77;1;50;ml;
2;77;0;123;ml;
1;78;1;50;ml;
2;79;0;123;ml;
1;80;1;50;ml;
2;80;0;123;ml;
3;81;1;80;ml;
3;82;1;50;ml;
2;83;0;123;ml;
2;84;0;186;ml;
8;85;0;250;ml;
3;86;1;50;ml;
