7791600040147;401/4;369;
7791600047030;470/3;355;
7791600047115;471/1;405;
7791600047474;474/7;185;
7791600041250;412/5;489;
7791600595234;5952/3;349;
7791600595128;5951/2;399;
7791600595340;5953/4;195;
7791600090029;900/2;739;
7791600090135;901/3;195;
7791600091040;910/4;739;
7791600091156;911/5;195;
7791600016647;166/4;435;
7791600062521;625/2;415;
7791600062743;627/4;415;
7791600062637;626/3;159;
7791600062859;628/5;159;
7791600623029;6230/2;659;
7791600623135;6231/3;659;
7791600050092;500/9;359;
7791600050160;501/6;489;
7791600173029;1730/2;429;
7791600173135;1731/3;369;
7791600173241;1732/4;289;
7791600173357;1733/5;195;
7791600620134;6201/3;539;
7791600620240;6202/4;195;
7791600127015;1270/1;459;
7791600127121;1271/2;559;
7791600127237;1272/3;195;
7791600044053;440/5;369;
7791600012465;124/6;249;
7791600012687;126/8;249;
7791600044169;441/6;769;
7791600044275;442/7;769;
7791600045036;450/3;369;
7791600045142;451/4;769;
7791600292034;2920/3;589;
7791600292140;2921/4;249;
7791600292256;2922/5;249;
7791600292584;2925/8;1289;
7791600292362;2923/6;1369;
7791600971045;9710/4;739;
7791600971151;9711/5;739;
7791600971267;9712/6;739;
7791600668518;6685/1;499;
7791600066444;664/4;205;
7791600066727;667/2;429;
7791600880439;8804/3;259;
7791600881252;8812/5;379;
7791600619039;6190/3;609;
7791600619145;6191/4;739;
7791600619251;6192/5;225;
7791600030124;301/2;719;
7791600030230;302/3;819;
7791600030346;303/4;225;
7791600030452;304/5;259;
7791600030735;307/3;449;
7791600962159;9621/5;719;
7791600962371;9623/7;225;
7791600032029;320/2;719;
7791600032241;322/4;225;
7791600064129;641/2;739;
7791600064235;642/3;859;
7791600064457;644/5;225;
7791600064563;645/6;259;
7791600064822;648/2;449;
7791600745028;7450/2;669;
7791600745134;7451/3;669;
7791600024017;240/1;959;
7791600024123;241/2;1089;
7791600024239;242/3;225;
7791600024345;243/4;269;
7791600024680;246/8;449;
7791600266035;2660/3;889;
7791600266257;2662/5;225;
7791600266721;2667/2;1189;
7791600844127;8441/2;889;
7791600844349;8443/4;225;
7791600154035;1540/3;959;
7791600154141;1541/4;1089;
7791600154257;1542/5;225;
7791600154363;1543/6;269;
7791600154479;1544/7;449;
7791600154585;1545/8;1189;
7791600295028;2950/2;979;
7791600295134;2951/3;1179;
7791600295240;2952/4;235;
7791600295356;2953/5;269;
7791600295462;2954/6;449;
7791600243562;2435/6;529;
7791600243678;2436/7;225;
